Entity,Code,Year,MentalMale,MentalFemale,Population,Female,Male,Both
Australia,AUS,1990,17.42347329,18.67189305,16960600,5.24,20.67,12.80008223
Australia,AUS,1991,17.4713544,18.74619514,17189235,5.3,20.3,12.6457467
Australia,AUS,1992,17.51445688,18.81115818,17402179,5.27,20.29,12.62696182
Australia,AUS,1993,17.55344141,18.87123031,17603211,4.95,19.9,12.26537157
Australia,AUS,1994,17.57810181,18.91170495,17798526,5.07,20.63,12.69029248
Australia,AUS,1995,17.5802933,18.92922155,17993083,5.12,20.81,12.8067681
Australia,AUS,1996,17.57576763,18.93145338,18189274,5.23,21.27,13.088745
Australia,AUS,1997,17.54830361,18.93053136,18387205,5.42,21.64,13.36840484
Australia,AUS,1998,17.51190773,18.93178685,18587027,5.36,21.9,13.4684682
Australia,AUS,1999,17.49187358,18.94389849,18788187,5.16,21.22,13.02913866
Australia,AUS,2000,17.49100741,18.96972443,18991434,5.12,20.07,12.44325856
Australia,AUS,2001,17.52800588,19.05876283,19194676,4.89,18.99,11.79419628
Australia,AUS,2002,17.59239526,19.21061458,19401366,4.87,18.13,11.35699273
Australia,AUS,2003,17.67196548,19.39147702,19624163,4.76,17.47,10.97537392
Australia,AUS,2004,17.73862127,19.53787618,19879654,4.69,16.89,10.65348511
Australia,AUS,2005,17.76620732,19.60786077,20178543,4.56,16.53,10.41425258
Australia,AUS,2006,17.76212219,19.6171781,20526300,4.69,16.07,10.25500911
Australia,AUS,2007,17.73818288,19.59503555,20916339,4.89,16.43,10.5408221
Australia,AUS,2008,17.70935409,19.55846729,21332293,4.87,16.76,10.69683605
Australia,AUS,2009,17.6833947,19.51562864,21750852,5.06,16.65,10.74031152
Australia,AUS,2010,17.6701175,19.48187972,22154687,5.06,16.68,10.75843653
Australia,AUS,2011,17.65524808,19.457405,22538002,5.18,16.32,10.64535537
Australia,AUS,2012,17.63785977,19.43266341,22903951,5.09,16.11,10.49414471
Australia,AUS,2013,17.61159878,19.38806576,23254912,5.12,16.15,10.53358955
Australia,AUS,2014,17.5830971,19.35294106,23596426,5.26,16.88,10.96272686
Australia,AUS,2015,17.5417157,19.31162687,23932499,5.28,17.5,11.2778022
Australia,AUS,2016,17.50621383,19.26418635,24262710,5.04,17.35,11.08186987
Australia,AUS,2017,17.46862358,19.21619405,24584619,4.97,17.35,11.04688494